	[psi_1, psi2]	[ssx,ssy, esx,esy]	sampled prefrence	ER
1819	"[[3. 0. 0. 0. 0. 0.]
 [2. 0. 0. 0. 0. 1.]]"	"[[5. 7. 4. 5.]
 [5. 7. 4. 7.]]"	[0, 1]	[-6.131294495337038, -5.04480929280205]
1820	"[[3. 0. 0. 1. 0. 0.]
 [2. 0. 0. 0. 0. 1.]]"	"[[4. 2. 6. 2.]
 [4. 2. 5. 1.]]"	[1, 0]	[-1.9137829757184903, -4.0]
1821	"[[2. 0. 1. 0. 0. 0.]
 [2. 0. 1. 0. 1. 0.]]"	"[[5. 5. 6. 3.]
 [5. 3. 6. 3.]]"	[0, 1]	[-94.7207190257387, -93.63632030840625]
1822	"[[1. 0. 0. 0. 0. 2.]
 [3. 0. 0. 1. 0. 0.]]"	"[[5. 1. 6. 0.]
 [5. 1. 5. 4.]]"	[0, 1]	[-5.993027944069944, 0.12191000260321516]
1823	"[[3. 0. 0. 0. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[8. 3. 6. 2.]
 [7. 0. 8. 0.]]"	[0, 1]	[-6.125175181856697, -3.058517866716379]
1824	"[[2. 0. 1. 0. 0. 0.]
 [2. 0. 1. 0. 1. 0.]]"	"[[4. 3. 2. 2.]
 [5. 2. 2. 2.]]"	[1, 0]	[-91.59568398809785, -92.59568398809785]
1825	"[[3. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 3.]]"	"[[5. 1. 5. 1.]
 [4. 0. 5. 0.]]"	[1, 0]	[-3.0, -3.9614834677841984]
1826	"[[2. 0. 0. 0. 0. 1.]
 [2. 0. 0. 0. 0. 1.]]"	"[[2. 8. 1. 6.]
 [2. 8. 5. 8.]]"	[0, 1]	[-8.120039036640847, 0.13442892426130015]
1827	"[[3. 0. 0. 1. 0. 0.]
 [3. 0. 0. 0. 1. 0.]]"	"[[7. 1. 7. 0.]
 [7. 1. 9. 2.]]"	[0, 1]	[-2.0396423053283854, -0.9732800606483067]
1828	"[[3. 0. 0. 0. 0. 0.]
 [3. 0. 0. 0. 1. 0.]]"	"[[4. 9. 6. 8.]
 [8. 0. 8. 3.]]"	[0, 1]	[-1.95309795, -0.7766646460985385]
1829	"[[3. 0. 0. 0. 0. 0.]
 [3. 0. 0. 1. 0. 0.]]"	"[[7. 7. 7. 5.]
 [1. 5. 0. 5.]]"	[0, 1]	[-5.090758197950009, -3.0365630793091043]
1830	"[[3. 0. 0. 0. 0. 0.]
 [1. 0. 0. 0. 0. 2.]]"	"[[2. 3. 1. 3.]
 [1. 9. 2. 7.]]"	[1, 0]	[-4.0375175322158015, -6.042720719025738]
1831	"[[2. 0. 0. 0. 0. 1.]
 [1. 0. 0. 0. 0. 2.]]"	"[[5. 1. 2. 1.]
 [2. 7. 3. 9.]]"	[0, 1]	[-8.114550636203504, -0.8687055046629624]
1832	"[[3. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 3.]]"	"[[6. 8. 4. 7.]
 [3. 8. 2. 9.]]"	[0, 1]	[-6.13756649075205, -6.0]
1833	"[[3. 0. 0. 0. 0. 0.]
 [2. 0. 0. 1. 0. 1.]]"	"[[1. 1. 2. 0.]
 [4. 0. 4. 1.]]"	[0, 1]	[-2.0019950039989993, -0.9614834677841984]
1834	"[[3. 0. 0. 0. 0. 0.]
 [3. 0. 0. 0. 1. 0.]]"	"[[2. 3. 2. 4.]
 [2. 3. 3. 2.]]"	[0, 1]	[-3.9564479106958927, -3.0009999999999977]
1835	"[[3. 0. 0. 0. 1. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[0. 1. 0. 2.]
 [0. 1. 2. 1.]]"	[0, 1]	[-2.965591908865761, -0.9321453751968534]
1836	"[[3. 0. 0. 1. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[1. 3. 1. 4.]
 [6. 4. 9. 4.]]"	[0, 1]	[-2.953498453790189, 0.03278247151224889]
1837	"[[1. 0. 0. 0. 0. 2.]
 [3. 0. 0. 1. 0. 0.]]"	"[[3. 8. 1. 9.]
 [7. 2. 7. 3.]]"	[0, 1]	[-7.04376448350925, -0.9582752869702702]
1838	"[[3. 0. 0. 1. 0. 0.]
 [3. 0. 0. 0. 1. 0.]]"	"[[3. 0. 3. 0.]
 [3. 0. 3. 3.]]"	[0, 1]	[-2.0, -0.8854493637964964]
1839	"[[3. 0. 0. 0. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[4. 4. 4. 4.]
 [4. 4. 5. 6.]]"	[0, 1]	[-3.0, 0.12816320084169774]
1840	"[[2. 0. 1. 1. 0. 0.]
 [2. 0. 1. 0. 0. 0.]]"	"[[5. 1. 6. 3.]
 [7. 1. 6. 3.]]"	[1, 0]	[-90.55608830410975, -91.64230532839126]
1841	"[[1. 0. 0. 0. 0. 2.]
 [3. 0. 0. 0. 0. 0.]]"	"[[7. 9. 6. 9.]
 [4. 3. 4. 2.]]"	[0, 1]	[-7.049999999999997, -3.0395956839881038]
1842	"[[2. 0. 1. 0. 1. 0.]
 [2. 0. 1. 1. 0. 0.]]"	"[[7. 3. 6. 3.]
 [6. 2. 6. 3.]]"	[0, 1]	[-94.7247130297377, -90.64230532839126]
1843	"[[3. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 3.]]"	"[[1. 7. 0. 8.]
 [1. 7. 2. 7.]]"	[1, 0]	[-3.0, -3.9613210016932854]
1844	"[[2. 0. 1. 0. 1. 0.]
 [2. 0. 1. 0. 0. 0.]]"	"[[7. 4. 6. 3.]
 [6. 4. 6. 3.]]"	[0, 1]	[-95.76748051024795, -93.7247130297377]
1845	"[[3. 0. 0. 0. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[5. 8. 4. 8.]
 [5. 8. 4. 9.]]"	[0, 1]	[-4.04585514795, -3.0]
1846	"[[3. 0. 0. 0. 0. 0.]
 [2. 0. 0. 0. 0. 1.]]"	"[[6. 9. 4. 9.]
 [6. 9. 7. 9.]]"	[0, 1]	[-5.09485205, -1.9500000000000028]
1847	"[[3. 0. 0. 0. 0. 0.]
 [3. 0. 0. 0. 1. 0.]]"	"[[9. 9. 9. 8.]
 [3. 1. 4. 3.]]"	[0, 1]	[-3.049999999999997, -0.8823316954919846]
1848	"[[3. 0. 0. 0. 0. 0.]
 [0. 0. 0. 1. 0. 3.]]"	"[[3. 3. 2. 3.]
 [8. 6. 7. 8.]]"	[0, 1]	[-4.038556088304112, -2.95205]
1849	"[[2. 0. 0. 0. 0. 1.]
 [2. 0. 0. 0. 0. 1.]]"	"[[9. 7. 8. 5.]
 [5. 8. 7. 9.]]"	[0, 1]	[-8.04390205, 0.14485204999999723]
1850	"[[3. 0. 0. 1. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[4. 4. 5. 2.]
 [4. 4. 4. 3.]]"	[1, 0]	[-3.0406363203084013, -4.040636320308401]
1851	"[[3. 0. 0. 2. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[2. 4. 1. 4.]
 [2. 4. 1. 5.]]"	[1, 0]	[-2.034568075310098, -2.9980049960009936]
1852	"[[2. 0. 0. 1. 0. 1.]
 [3. 0. 0. 0. 0. 0.]]"	"[[7. 2. 6. 0.]
 [7. 2. 7. 5.]]"	[0, 1]	[-5.119927956668164, 0.1283034853420233]
1853	"[[3. 0. 0. 1. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[8. 1. 7. 1.]
 [2. 4. 1. 2.]]"	[1, 0]	[-2.942424557841477, -4.117549636203506]
1854	"[[3. 0. 0. 0. 1. 0.]
 [3. 0. 0. 1. 0. 0.]]"	"[[1. 1. 0. 1.]
 [1. 1. 3. 0.]]"	[0, 1]	[-5.034408091134239, -0.9665534663310922]
1855	"[[2. 1. 0. 1. 0. 0.]
 [1. 1. 0. 0. 0. 1.]]"	"[[9. 8. 8. 9.]
 [9. 9. 8. 9.]]"	[1, 0]	[-0.9500000000000028, -3.0]
1856	"[[3. 0. 0. 0. 1. 0.]
 [3. 0. 0. 0. 1. 0.]]"	"[[5. 4. 5. 3.]
 [5. 4. 8. 4.]]"	[0, 1]	[-5.04167799830671, -1.8667065046629716]
1857	"[[0. 0. 1. 0. 0. 2.]
 [2. 0. 1. 0. 0. 0.]]"	"[[4. 8. 3. 6.]
 [5. 5. 3. 6.]]"	[0, 1]	[-98.80929280205001, -94.7207190257387]
1858	"[[2. 1. 0. 1. 0. 0.]
 [1. 1. 0. 0. 0. 1.]]"	"[[9. 8. 8. 9.]
 [7. 9. 8. 9.]]"	[1, 0]	[-0.9500000000000028, -3.0]
1859	"[[3. 0. 0. 1. 0. 0.]
 [3. 0. 0. 1. 1. 0.]]"	"[[7. 2. 8. 0.]
 [7. 2. 7. 1.]]"	[1, 0]	[-3.138843160361475, -4.040682988316711]
1860	"[[2. 0. 1. 0. 0. 0.]
 [0. 0. 1. 0. 0. 2.]]"	"[[1. 7. 3. 6.]
 [1. 7. 3. 6.]]"	[1, 0]	[-90.63931930840624, -92.63931930840624]
1861	"[[3. 0. 0. 0. 0. 0.]
 [1. 0. 0. 0. 0. 2.]]"	"[[5. 3. 3. 3.]
 [1. 6. 3. 7.]]"	[0, 1]	[-5.080232004296505, 0.12003903664085414]
1862	"[[0. 0. 0. 0. 0. 3.]
 [3. 0. 0. 0. 0. 0.]]"	"[[5. 0. 4. 0.]
 [4. 1. 5. 1.]]"	[0, 1]	[-8.038516532215802, -1.96044391169589]
1863	"[[3. 0. 0. 0. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[5. 5. 5. 4.]
 [6. 6. 6. 6.]]"	[0, 1]	[-4.042720719025745, -3.0]
1864	"[[3. 0. 0. 0. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[7. 5. 7. 3.]
 [9. 0. 9. 0.]]"	[0, 1]	[-5.0865787723122935, -3.0]
1865	"[[2. 0. 0. 0. 0. 1.]
 [3. 0. 0. 0. 1. 0.]]"	"[[2. 9. 0. 8.]
 [6. 6. 9. 6.]]"	[0, 1]	[-9.125164200841702, -0.9581428520499955]
1866	"[[3. 0. 0. 0. 0. 0.]
 [3. 0. 0. 0. 1. 0.]]"	"[[9. 0. 8. 1.]
 [9. 0. 8. 2.]]"	[0, 1]	[-3.0, -2.8600168564950295]
1867	"[[3. 0. 0. 1. 0. 0.]
 [3. 0. 0. 0. 1. 0.]]"	"[[3. 2. 5. 1.]
 [8. 5. 9. 7.]]"	[0, 1]	[-0.96044391169589, 0.043902049999999804]
1868	"[[3. 0. 0. 0. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[1. 3. 2. 1.]
 [1. 3. 2. 3.]]"	[0, 1]	[-4.03847701568359, -1.9624824677841985]
1869	"[[2. 0. 1. 0. 0. 0.]
 [2. 0. 1. 1. 0. 0.]]"	"[[8. 2. 6. 3.]
 [5. 3. 6. 3.]]"	[0, 1]	[-93.7247130297377, -91.63632030840625]
1870	"[[3. 0. 0. 0. 0. 0.]
 [2. 0. 0. 0. 0. 1.]]"	"[[5. 9. 4. 9.]
 [3. 1. 5. 1.]]"	[0, 1]	[-4.04690205, -0.9219273794800884]
1871	"[[3. 0. 0. 0. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[1. 8. 1. 5.]
 [0. 4. 0. 4.]]"	[0, 1]	[-6.1159189976042185, -3.0]
1872	"[[3. 0. 0. 0. 0. 0.]
 [1. 0. 0. 0. 0. 2.]]"	"[[7. 9. 4. 9.]
 [1. 9. 1. 8.]]"	[0, 1]	[-7.144852049999997, -7.041720719025733]
1873	"[[1. 0. 0. 0. 0. 2.]
 [1. 0. 0. 0. 0. 2.]]"	"[[1. 8. 1. 8.]
 [1. 8. 4. 8.]]"	[0, 1]	[-5.0, 0.13029449533703286]
1874	"[[3. 0. 0. 0. 0. 0.]
 [1. 0. 0. 0. 0. 2.]]"	"[[2. 5. 0. 5.]
 [2. 5. 3. 7.]]"	[0, 1]	[-5.072166758298202, 0.12203603764086068]
1875	"[[3. 0. 0. 0. 1. 0.]
 [1. 0. 0. 0. 0. 2.]]"	"[[1. 2. 1. 3.]
 [2. 9. 4. 8.]]"	[1, 0]	[-2.9635199853164025, -3.95519070719795]
1876	"[[1. 0. 0. 1. 0. 2.]
 [3. 0. 0. 0. 0. 0.]]"	"[[4. 0. 4. 0.]
 [0. 2. 2. 1.]]"	[0, 1]	[-4.0, -1.9665534663310922]
1877	"[[3. 0. 0. 1. 0. 0.]
 [2. 0. 0. 0. 0. 1.]]"	"[[4. 2. 4. 3.]
 [4. 2. 5. 1.]]"	[1, 0]	[-1.9604043160118962, -4.0]
1878	"[[3. 0. 0. 1. 0. 0.]
 [0. 0. 0. 0. 0. 3.]]"	"[[8. 2. 7. 1.]
 [4. 0. 5. 0.]]"	[0, 1]	[-4.0824077013464475, -3.9614834677841984]
1879	"[[3. 0. 0. 0. 0. 0.]
 [1. 0. 0. 0. 0. 2.]]"	"[[0. 9. 0. 6.]
 [0. 9. 2. 9.]]"	[0, 1]	[-6.1159189976042185, -0.9145147974650172]
1880	"[[3. 0. 0. 0. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[7. 6. 4. 6.]
 [0. 0. 0. 0.]]"	[0, 1]	[-5.135428924261291, -3.0]
1881	"[[2. 0. 1. 0. 1. 0.]
 [2. 0. 1. 0. 0. 0.]]"	"[[3. 0. 2. 2.]
 [1. 0. 2. 2.]]"	[0, 1]	[-88.44153766790625, -86.3706900341081]
1882	"[[3. 0. 0. 0. 0. 0.]
 [1. 0. 0. 1. 0. 2.]]"	"[[7. 7. 7. 6.]
 [7. 7. 7. 8.]]"	[0, 1]	[-4.045902050000002, -1.9520499999999998]
1883	"[[2. 0. 0. 0. 0. 1.]
 [0. 0. 0. 0. 0. 3.]]"	"[[5. 2. 4. 2.]
 [3. 7. 3. 8.]]"	[1, 0]	[-4.039595683988104, -4.956235516490757]
1884	"[[2. 0. 1. 0. 0. 0.]
 [2. 0. 1. 0. 1. 0.]]"	"[[3. 3. 2. 2.]
 [2. 1. 2. 2.]]"	[0, 1]	[-90.55608830410975, -88.44153766790625]
1885	"[[3. 0. 0. 1. 0. 0.]
 [0. 0. 0. 0. 0. 3.]]"	"[[9. 8. 9. 7.]
 [3. 8. 3. 7.]]"	[1, 0]	[-3.0499500000000026, -7.043764483509243]
1886	"[[2. 0. 1. 0. 0. 0.]
 [2. 0. 1. 0. 1. 0.]]"	"[[4. 3. 2. 2.]
 [1. 2. 2. 2.]]"	[0, 1]	[-91.59568398809785, -88.44353466890624]
1887	"[[2. 0. 0. 0. 0. 1.]
 [3. 0. 0. 0. 0. 0.]]"	"[[1. 8. 1. 7.]
 [9. 0. 8. 1.]]"	[0, 1]	[-5.039678998306719, -3.0]
1888	"[[3. 0. 0. 1. 0. 0.]
 [2. 0. 0. 0. 0. 1.]]"	"[[2. 6. 1. 4.]
 [7. 5. 8. 7.]]"	[0, 1]	[-5.110804078606613, 0.13870819795000955]
1889	"[[2. 0. 1. 0. 0. 0.]
 [2. 0. 1. 0. 1. 0.]]"	"[[3. 0. 2. 2.]
 [0. 1. 2. 2.]]"	[0, 1]	[-87.44153766790625, -86.3736830431031]
1890	"[[3. 0. 0. 1. 0. 0.]
 [0. 0. 0. 0. 0. 3.]]"	"[[7. 0. 8. 1.]
 [1. 7. 3. 8.]]"	[0, 1]	[-1.0179331368301376, -0.8748357991582978]
1891	"[[3. 0. 0. 0. 0. 0.]
 [1. 0. 0. 1. 0. 2.]]"	"[[9. 6. 8. 4.]
 [9. 6. 7. 7.]]"	[0, 1]	[-7.039858147950014, -5.949099950000004]
1892	"[[3. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 3.]]"	"[[1. 7. 1. 7.]
 [1. 7. 2. 7.]]"	[1, 0]	[-3.0, -3.9613210016932854]
1893	"[[2. 0. 1. 0. 0. 0.]
 [1. 0. 0. 0. 0. 2.]]"	"[[2. 1. 2. 2.]
 [3. 9. 2. 8.]]"	[0, 1]	[-87.44153766790625, -8.0885737763113]
1894	"[[2. 0. 1. 0. 1. 0.]
 [0. 0. 0. 0. 0. 3.]]"	"[[2. 1. 2. 2.]
 [3. 9. 2. 9.]]"	[0, 1]	[-88.44153766790625, -7.04480929280205]
1895	"[[0. 1. 0. 0. 0. 2.]
 [2. 0. 0. 0. 0. 1.]]"	"[[7. 9. 8. 9.]
 [5. 8. 3. 7.]]"	[1, 0]	[-4.0, -7.134428924261293]
1896	"[[2. 1. 0. 1. 0. 0.]
 [3. 0. 0. 1. 0. 0.]]"	"[[9. 9. 8. 9.]
 [8. 2. 7. 1.]]"	[1, 0]	[-1.0, -4.0824077013464475]
1897	"[[1. 1. 0. 0. 0. 1.]
 [3. 0. 0. 0. 1. 0.]]"	"[[6. 8. 8. 9.]
 [8. 2. 8. 2.]]"	[1, 0]	[0.09794999999999732, -4.0]
1898	"[[2. 0. 1. 0. 1. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[3. 2. 2. 2.]
 [7. 1. 7. 0.]]"	[0, 1]	[-91.51653221580564, -3.0396423053283854]
1899	"[[2. 0. 1. 0. 1. 0.]
 [1. 0. 0. 0. 0. 2.]]"	"[[3. 2. 2. 2.]
 [0. 8. 3. 8.]]"	[0, 1]	[-91.51653221580564, 0.1251642008417022]
1900	"[[2. 0. 1. 0. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[4. 3. 2. 2.]
 [2. 7. 0. 6.]]"	[0, 1]	[-91.59568398809785, -7.114918997604214]
1901	"[[2. 0. 1. 0. 0. 0.]
 [2. 0. 0. 0. 0. 1.]]"	"[[1. 0. 2. 2.]
 [2. 7. 5. 7.]]"	[0, 1]	[-86.3706900341081, 0.13129449533703763]
1902	"[[2. 0. 1. 1. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[5. 3. 6. 3.]
 [0. 7. 0. 8.]]"	[0, 1]	[-91.63632030840625, -1.9613606806916053]
1903	"[[2. 0. 1. 0. 0. 0.]
 [2. 0. 0. 0. 0. 1.]]"	"[[6. 2. 6. 3.]
 [0. 7. 2. 8.]]"	[0, 1]	[-91.64230532839126, 0.12003903664084703]
1904	"[[2. 1. 0. 1. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[9. 8. 8. 9.]
 [0. 9. 0. 7.]]"	[1, 0]	[-0.9500000000000028, -5.078318317615114]
1905	"[[0. 1. 0. 0. 0. 2.]
 [0. 0. 0. 1. 0. 3.]]"	"[[7. 8. 8. 9.]
 [8. 8. 8. 7.]]"	[1, 0]	[-1.9500000000000028, -7.049999999999997]
1906	"[[2. 0. 1. 0. 0. 0.]
 [0. 0. 0. 1. 0. 3.]]"	"[[4. 4. 3. 6.]
 [7. 9. 7. 7.]]"	[0, 1]	[-92.63632030840625, -9.097949999999997]
1907	"[[0. 0. 1. 0. 0. 2.]
 [0. 0. 0. 0. 0. 3.]]"	"[[1. 7. 3. 6.]
 [0. 9. 2. 9.]]"	[0, 1]	[-92.63931930840624, -1.9145147974650172]
1908	"[[2. 0. 1. 0. 0. 0.]
 [3. 0. 0. 0. 1. 0.]]"	"[[3. 3. 2. 2.]
 [2. 1. 0. 2.]]"	[0, 1]	[-90.55608830410975, -5.033446533668908]
1909	"[[2. 0. 1. 0. 1. 0.]
 [3. 0. 0. 1. 0. 0.]]"	"[[3. 2. 2. 2.]
 [1. 4. 1. 5.]]"	[0, 1]	[-91.51653221580564, -0.9634369206908957]
1910	"[[2. 0. 1. 0. 0. 0.]
 [3. 0. 0. 1. 0. 0.]]"	"[[0. 3. 2. 2.]
 [8. 2. 7. 0.]]"	[0, 1]	[-87.44353466890624, -4.122050006674833]
1911	"[[2. 0. 1. 0. 0. 0.]
 [0. 0. 0. 0. 0. 3.]]"	"[[1. 0. 2. 2.]
 [2. 8. 3. 8.]]"	[0, 1]	[-86.3706900341081, -3.95623551649075]
1912	"[[2. 1. 0. 1. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[9. 9. 8. 9.]
 [7. 5. 7. 5.]]"	[1, 0]	[-1.0, -3.0]
1913	"[[0. 1. 0. 0. 0. 2.]
 [0. 0. 0. 0. 0. 3.]]"	"[[6. 8. 8. 9.]
 [1. 7. 2. 7.]]"	[1, 0]	[-0.9020500000000027, -3.9613210016932854]
1914	"[[2. 1. 0. 1. 0. 0.]
 [3. 0. 0. 1. 0. 0.]]"	"[[9. 8. 8. 9.]
 [2. 4. 0. 3.]]"	[1, 0]	[-0.9500000000000028, -3.1175496362035062]
1915	"[[1. 1. 0. 0. 0. 1.]
 [3. 0. 0. 0. 0. 0.]]"	"[[9. 9. 8. 9.]
 [3. 9. 4. 7.]]"	[1, 0]	[-3.0, -4.04480929280205]
1916	"[[0. 1. 0. 0. 0. 2.]
 [1. 0. 0. 0. 0. 2.]]"	"[[7. 7. 8. 9.]
 [3. 9. 2. 9.]]"	[1, 0]	[0.09794999999999732, -6.04480929280205]
1917	"[[2. 0. 1. 0. 0. 0.]
 [3. 0. 0. 1. 0. 0.]]"	"[[7. 1. 6. 3.]
 [1. 6. 2. 4.]]"	[0, 1]	[-91.64230532839126, -3.039595683988111]
1918	"[[2. 0. 1. 0. 0. 0.]
 [0. 0. 0. 0. 0. 3.]]"	"[[6. 2. 6. 3.]
 [3. 9. 2. 9.]]"	[0, 1]	[-91.64230532839126, -7.04480929280205]
1919	"[[2. 0. 1. 0. 0. 0.]
 [3. 0. 0. 1. 0. 0.]]"	"[[5. 5. 6. 3.]
 [3. 2. 4. 2.]]"	[0, 1]	[-94.7207190257387, -0.96044391169589]
1920	"[[2. 0. 1. 0. 0. 0.]
 [1. 0. 0. 0. 0. 2.]]"	"[[5. 2. 6. 3.]
 [1. 6. 2. 8.]]"	[0, 1]	[-91.59568398809785, -0.879960963359153]
1921	"[[2. 0. 1. 0. 1. 0.]
 [2. 0. 0. 1. 0. 1.]]"	"[[5. 5. 6. 3.]
 [7. 6. 7. 7.]]"	[0, 1]	[-95.7207190257387, -1.9540979499999978]
1922	"[[2. 0. 1. 1. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[5. 3. 6. 3.]
 [7. 6. 9. 5.]]"	[0, 1]	[-91.63632030840625, -2.0528491499499992]
1923	"[[2. 0. 1. 0. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[6. 4. 6. 3.]
 [1. 8. 0. 8.]]"	[0, 1]	[-93.7247130297377, -4.039678998306719]
1924	"[[2. 0. 1. 0. 0. 0.]
 [1. 0. 0. 0. 0. 2.]]"	"[[7. 1. 6. 3.]
 [1. 8. 2. 8.]]"	[0, 1]	[-91.64230532839126, -2.958279280974267]
1925	"[[2. 0. 1. 0. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[7. 5. 6. 3.]
 [6. 9. 4. 8.]]"	[0, 1]	[-95.81129180205, -6.14070719795]
1926	"[[2. 0. 1. 0. 1. 0.]
 [0. 0. 0. 1. 0. 3.]]"	"[[4. 4. 6. 3.]
 [6. 9. 7. 7.]]"	[0, 1]	[-93.63632030840625, -7.04795]
1927	"[[2. 0. 1. 0. 0. 0.]
 [3. 0. 0. 1. 0. 0.]]"	"[[1. 2. 2. 2.]
 [3. 1. 1. 0.]]"	[0, 1]	[-87.44353466890624, -4.107325649481737]
1928	"[[2. 0. 1. 0. 0. 0.]
 [0. 0. 0. 0. 0. 3.]]"	"[[0. 2. 2. 2.]
 [3. 1. 5. 0.]]"	[0, 1]	[-86.40809113423734, -3.9614834677841984]
1929	"[[2. 0. 1. 0. 0. 0.]
 [3. 0. 0. 1. 0. 0.]]"	"[[1. 0. 2. 2.]
 [7. 3. 7. 1.]]"	[0, 1]	[-86.3706900341081, -4.08240770134644]
1930	"[[2. 0. 1. 0. 1. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[0. 1. 2. 2.]
 [0. 2. 0. 4.]]"	[0, 1]	[-86.3736830431031, -1.9171014206674926]
1931	"[[2. 1. 0. 1. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[9. 7. 8. 9.]
 [9. 6. 8. 4.]]"	[1, 0]	[0.09994999999999976, -7.039858147950014]
1932	"[[1. 1. 0. 0. 0. 1.]
 [1. 0. 0. 1. 0. 2.]]"	"[[6. 8. 8. 9.]
 [6. 6. 8. 7.]]"	[1, 0]	[0.09794999999999732, -0.8592928020499997]
1933	"[[2. 0. 1. 1. 0. 0.]
 [3. 0. 0. 0. 1. 0.]]"	"[[4. 2. 6. 3.]
 [1. 4. 0. 2.]]"	[0, 1]	[-90.55608830410975, -5.1184250955623085]
1934	"[[2. 0. 1. 0. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[6. 2. 6. 3.]
 [1. 4. 0. 3.]]"	[0, 1]	[-91.64230532839126, -3.0829815608934084]
1935	"[[2. 1. 0. 1. 0. 0.]
 [2. 0. 0. 0. 0. 1.]]"	"[[9. 8. 8. 9.]
 [9. 6. 9. 7.]]"	[1, 0]	[-0.9500000000000028, -2.951099950000007]
1936	"[[1. 1. 0. 0. 0. 1.]
 [1. 0. 0. 0. 0. 2.]]"	"[[9. 7. 8. 9.]
 [7. 7. 6. 9.]]"	[1, 0]	[-1.9000500000000002, -2.95205]
1937	"[[2. 1. 0. 1. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[9. 8. 8. 9.]
 [1. 1. 1. 0.]]"	[1, 0]	[-0.9500000000000028, -3.0374011001292374]
1938	"[[1. 1. 0. 0. 0. 1.]
 [1. 0. 0. 0. 0. 2.]]"	"[[5. 9. 8. 9.]
 [6. 8. 6. 9.]]"	[1, 0]	[0.09794999999999732, -3.95205]
1939	"[[2. 0. 1. 0. 1. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[3. 3. 2. 2.]
 [9. 5. 8. 4.]]"	[0, 1]	[-91.55608830410975, -4.992006998000008]
1940	"[[2. 0. 1. 0. 0. 0.]
 [1. 0. 0. 0. 0. 2.]]"	"[[2. 3. 2. 2.]
 [1. 8. 3. 9.]]"	[0, 1]	[-89.51753221580563, 0.13029449533703286]
1941	"[[2. 0. 1. 0. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[7. 1. 6. 3.]
 [5. 5. 4. 4.]]"	[0, 1]	[-91.64230532839126, -5.084398717332455]
1942	"[[2. 0. 1. 0. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[3. 3. 6. 3.]
 [5. 5. 5. 8.]]"	[0, 1]	[-90.55608830410975, 0.13442892426129305]
1943	"[[2. 1. 0. 1. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[9. 8. 8. 9.]
 [6. 8. 5. 8.]]"	[1, 0]	[-0.9500000000000028, -4.04690205]
1944	"[[1. 1. 0. 0. 0. 1.]
 [0. 0. 0. 0. 0. 3.]]"	"[[6. 8. 8. 9.]
 [0. 9. 1. 9.]]"	[1, 0]	[0.09794999999999732, -3.958279280974267]
1945	"[[2. 0. 1. 0. 0. 0.]
 [3. 0. 0. 1. 0. 0.]]"	"[[1. 4. 2. 2.]
 [2. 3. 1. 4.]]"	[0, 1]	[-87.52651622979965, -3.9910159860059906]
1946	"[[2. 0. 1. 0. 1. 0.]
 [0. 0. 0. 0. 0. 3.]]"	"[[0. 1. 2. 2.]
 [1. 8. 2. 8.]]"	[0, 1]	[-86.3736830431031, -3.958279280974267]
1947	"[[2. 0. 1. 0. 0. 0.]
 [3. 0. 0. 0. 0. 0.]]"	"[[8. 2. 6. 3.]
 [5. 2. 3. 3.]]"	[0, 1]	[-93.7247130297377, -4.039595683988104]
